,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability.Status,,,,,,Mental.Health,,,,,,,,COVID.Vaccine.and.Long.COVID,,,,,,Society.and.Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health.Insurance,,Food.Security,,,,,,Internet.Security,,,,,,
SCRAM,EST_ST,EST_MSA,REGION,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,SEXUAL_ORIENTATION_RV,THHLD_NUMPER,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,INCOME,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,RECVDVACC,RVACCDATE,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMIMPCT,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4_RV,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,PARTINARTS,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,TENURE,LIVQTRRV,RENTCHNG,RENTCUR,MORTCUR,ENERGY,PRIVHLTH,PUBHLTH,EXPNS_DIF,CURFOODSUF,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,HOME_INTERNET,MOBILE_INTERNET,REDUCED_INT1,REDUCED_INT2,REDUCED_INT3,REDUCED_INT4,CANCEL_INTERNET
P090000032,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1954,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,5,2,2,6,5,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000040,New Jersey,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1941,No,White,High school graduate or equivalent,2,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,5
P090000051,Wyoming,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1981,No,White,Associate's degree,5,2,2,2,1,1,0,0,1,2,2,6,4,4,4,1,1,2,3,2,2,1,2,1,3,1,1,2,2,2,4,1,4,3,2,3,3,4,2,4,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,3,1,1,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090000053,New York,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,No,White,Graduate degree,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,2,2,4,4,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090000055,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1936,No,White,Graduate degree,1,1,2,2,0,0,0,0,5,2,1,4,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,2,4,2,2,2,2,3,3,3,3,3,3,3,3,1,4,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000056,Tennessee,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,High school graduate or equivalent,1,2,2,1,0,0,0,0,3,2,2,6,5,4,4,2,1,1,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,5,4,1,3,1,1,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000061,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,Black,High school graduate or equivalent,1,2,2,3,0,0,0,0,5,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,1,2,4,5,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000063,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1975,No,White,Graduate degree,1,2,2,2,0,0,0,0,8,1,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,2,4,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000071,Illinois,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1972,No,Asian,Graduate degree,3,1,2,1,0,0,0,0,6,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,6,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000072,Massachusetts,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1964,No,White,Associate's degree,4,1,2,2,0,0,0,0,1,2,2,6,4,4,4,2,1,2,1,1,1,4,4,2,2,4,4,4,6,1,1,2,5,5,5,1,3,4,4,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,3,1,2,1,2,2,1,1,1,1,2,2,4
P090000073,Connecticut,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1946,No,White,High school graduate or equivalent,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,2,1,1,2,2,2,2,2,4,4,4,6,1,3,2,5,5,5,5,3,1,1,4,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,2,4,3,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000075,Washington,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1967,No,White,Bachelor's degree,1,1,2,3,1,1,0,0,4,2,1,1,10,3,3,1,2,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,1,4,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000088,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1968,No,Black,Associate's degree,3,2,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,2,1,1,1,2,1,4,4,4,6,2,4,2,5,5,5,2,2,2,1,4,5,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,1,2,1,4,3,1,1,2,2,1,1,1,2,2,2,2
P090000090,Florida,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1949,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,5,2,2,6,5,2,4,1,1,3,1,2,1,2,2,1,2,4,4,4,6,1,2,2,5,5,5,3,2,1,1,1,4,1,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000102,Oregon,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1951,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,5,3,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000104,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1962,No,White,High school graduate or equivalent,1,2,2,2,0,0,0,0,4,2,2,6,1,4,4,1,1,1,2,1,1,2,1,1,1,4,4,4,6,1,3,2,5,5,5,3,3,1,2,1,1,1,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000110,Washington,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1962,No,Other,High school graduate or equivalent,3,1,2,1,0,0,0,0,4,1,2,6,6,4,4,1,1,1,2,1,1,4,3,2,3,4,4,4,6,1,2,2,5,5,5,4,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,5,2,3,4,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000111,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1989,No,White,Some college (but degree not received or is in progress),1,2,3,2,0,0,0,0,5,2,2,6,4,4,4,2,1,1,2,2,1,4,4,4,4,4,4,4,6,1,2,1,3,2,1,2,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000115,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1947,No,White,Graduate degree,3,1,2,1,0,0,0,0,6,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,2,1,1,2,1,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000116,Indiana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1959,No,White,High school graduate or equivalent,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,2,2,1,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,2,3,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,3,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000134,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1980,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,6,2,1,2,10,3,1,1,1,2,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,3,5,1,1,2,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000138,South Dakota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1951,No,White,High school graduate or equivalent,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,4,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090000144,Nevada,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,No,White,Some college (but degree not received or is in progress),1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,2,2,1,1,3,1,3,2,4,4,4,6,1,1,2,5,5,5,2,4,4,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,6,7,3,1,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000146,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1955,No,White,Some college (but degree not received or is in progress),2,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,3,2,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000149,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1956,No,White,Some college (but degree not received or is in progress),2,2,4,1,0,0,0,0,5,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,4,3,5,1,1,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000150,Vermont,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Graduate degree,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,1,1,1,2,1,2,2,4,4,4,6,1,2,2,5,5,5,2,4,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000152,Nebraska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1950,No,White,Associate's degree,2,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,2,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,4,3,5,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000155,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1955,No,Asian,Bachelor's degree,1,1,2,3,0,0,0,0,6,2,2,6,5,2,4,1,1,1,2,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,3,4,1,1,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,3,7,3,4,4,1,1,1,1,2,2,2,2,3,1,2,2,2,2,5
P090000166,Kentucky,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1973,No,Black,High school graduate or equivalent,5,2,2,1,0,0,0,0,1,2,2,6,9,4,4,1,1,1,1,1,1,2,2,2,1,4,4,4,6,1,1,2,5,5,5,2,3,4,2,2,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1
P090000174,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Graduate degree,1,2,2,2,0,0,0,0,8,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,1,1,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000176,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1992,No,White,High school graduate or equivalent,1,2,2,8,5,3,0,0,2,2,2,6,2,4,4,2,1,1,1,1,1,1,1,1,2,3,5,5,7,2,4,2,5,5,5,3,1,2,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,7,3,4,4,2,2,1,1,2,2,2,2,2,1,2,2,2,2,5
P090000178,Washington,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1960,No,White,Graduate degree,1,1,2,2,0,0,0,0,8,2,2,6,5,4,4,1,2,1,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,3,2,1,3,3,2,1,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,2,1,2,2,2,2,5
P090000181,South Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1954,No,White,Associate's degree,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000184,Minnesota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1974,No,White,Some college (but degree not received or is in progress),1,2,3,3,0,0,0,0,3,2,1,2,10,3,3,3,2,3,2,1,1,2,2,2,2,4,4,4,6,1,3,1,3,3,2,3,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,2,2,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000197,Nebraska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1953,No,White,Bachelor's degree,2,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,4,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000200,Delaware,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1984,No,White,Associate's degree,1,1,2,3,1,1,0,0,6,2,1,1,10,3,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,2,4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000217,Colorado,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1983,No,White,Bachelor's degree,3,1,2,5,3,3,0,0,8,2,2,6,9,4,4,1,1,1,2,1,1,2,2,1,2,2,2,2,3,1,3,2,5,5,5,3,4,2,2,1,3,1,1,2,3,1,2,2,1,1,2,2,2,2,2,7,3,1,4,2,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000218,New Jersey,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1963,Yes,White,Bachelor's degree,3,1,2,4,1,1,0,0,4,2,2,6,4,4,4,1,1,3,1,2,1,1,1,2,1,3,5,5,7,1,1,2,5,5,5,4,3,4,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,3,6,4,1,3,2,2,1,4,2,2,2,2,1,1,1,1,2,2,2,2
P090000226,Colorado,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,Graduate degree,3,2,2,1,0,0,0,0,1,1,1,4,10,3,3,2,2,2,2,1,2,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,5,4,2,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,1,4,2,1,2,2,2,1,2,1,2,2,2,3
P090000233,Kentucky,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1966,Yes,White,Associate's degree,3,2,2,1,0,0,0,0,2,1,2,6,4,4,4,3,1,2,2,1,1,4,4,3,4,4,4,4,6,1,2,2,5,5,5,5,2,4,1,2,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090000240,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1972,Yes,White,Bachelor's degree,1,2,2,2,0,0,0,0,4,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,3,1,4,1,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000243,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1943,No,White,Graduate degree,1,2,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,2,4,4,2,1,2,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000252,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1964,No,White,Some college (but degree not received or is in progress),1,1,1,6,1,1,0,0,7,2,1,2,10,1,4,1,1,2,1,1,1,2,2,2,2,3,5,5,7,1,1,2,5,5,5,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,7,3,1,3,1,1,2,1,2,1,2,2,1,1,2,2,2,2,5
P090000256,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1962,No,White,Some college (but degree not received or is in progress),3,2,2,1,0,0,0,0,1,1,2,6,4,4,4,1,1,2,2,2,1,4,4,4,4,4,4,4,6,1,1,1,3,3,1,3,2,2,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000261,Michigan,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1964,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,1,2,2,6,4,4,4,2,3,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,3,1,1,3,2,1,1,2,2,1,1,1,2,2,2,1
P090000263,North Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1955,No,White,High school graduate or equivalent,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,1,2,3,2,1,4,4,3,2,4,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000264,Montana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1989,No,White,Bachelor's degree,1,2,2,6,3,3,0,0,6,2,2,6,7,4,4,1,1,1,1,1,1,2,1,1,2,3,5,5,7,1,3,2,5,5,5,1,4,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090000274,Maine,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,2001,No,White,Bachelor's degree,5,1,2,4,0,0,0,0,6,2,1,2,10,1,4,1,1,1,1,1,1,2,2,2,2,4,4,4,6,1,2,2,5,5,5,3,3,1,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090000283,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,Some college (but degree not received or is in progress),1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,3,4,5,1,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
