,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
P090000027,24,47900,,1977,1,2,6,5,1,3,1,0,0,0,0,7,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,3,3,2,2,3,1,1,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000030,38,,,1955,2,1,3,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,3,1,1,2,2,1,1,3,3,3,3,3,3,3,3,1,4,7,3,4,3,1,1,2,2,2,2,2,2,1,1,1,2,2,2,4
P090000032,29,,,1954,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000040,34,35620,,1941,1,1,3,2,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,5
P090000051,56,,,1981,1,1,5,5,2,2,2,1,1,0,0,1,2,2,6,4,4,4,1,1,2,3,2,2,1,2,1,3,1,1,2,2,2,4,1,4,3,2,3,3,4,2,4,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,3,1,1,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090000053,36,35620,,1948,1,1,7,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,2,2,4,4,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090000055,6,41860,,1936,1,1,7,1,1,2,2,0,0,0,0,5,2,1,4,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,2,4,2,2,2,2,3,3,3,3,3,3,3,3,1,4,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000056,47,,,1959,1,1,3,1,2,2,1,0,0,0,0,3,2,2,6,5,4,4,2,1,1,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,5,4,1,3,1,1,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000061,51,,,1959,1,2,3,1,2,2,3,0,0,0,0,5,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,1,2,4,5,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000063,35,,,1975,1,1,7,1,2,2,2,0,0,0,0,8,1,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,2,4,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000071,17,16980,,1972,1,3,7,3,1,2,1,0,0,0,0,6,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,6,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000072,25,14460,,1964,1,1,5,4,1,2,2,0,0,0,0,1,2,2,6,4,4,4,2,1,2,1,1,1,4,4,2,2,4,4,4,6,1,1,2,5,5,5,1,3,4,4,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,3,1,2,1,2,2,1,1,1,1,2,2,4
P090000073,9,,,1946,1,1,3,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,2,1,1,2,2,2,2,2,4,4,4,6,1,3,2,5,5,5,5,3,1,1,4,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,2,4,3,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000075,53,,,1967,1,1,6,1,1,2,3,1,1,0,0,4,2,1,1,10,3,3,1,2,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,1,4,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000088,48,26420,,1968,1,2,5,3,2,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,2,1,1,1,2,1,4,4,4,6,2,4,2,5,5,5,2,2,2,1,4,5,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,1,2,1,4,3,1,1,2,2,1,1,1,2,2,2,2
P090000090,12,,,1949,1,1,6,1,2,2,2,0,0,0,0,5,2,2,6,5,2,4,1,1,3,1,2,1,2,2,1,2,4,4,4,6,1,2,2,5,5,5,3,2,1,1,1,4,1,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000102,41,,,1951,1,1,4,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,5,3,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000104,42,,,1962,1,1,3,1,2,2,2,0,0,0,0,4,2,2,6,1,4,4,1,1,1,2,1,1,2,1,1,1,4,4,4,6,1,3,2,5,5,5,3,3,1,2,1,1,1,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000110,53,,,1962,1,4,3,3,1,2,1,0,0,0,0,4,1,2,6,6,4,4,1,1,1,2,1,1,4,3,2,3,4,4,4,6,1,2,2,5,5,5,4,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,5,2,3,4,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000111,48,,,1989,1,1,4,1,2,3,2,0,0,0,0,5,2,2,6,4,4,4,2,1,1,2,2,1,4,4,4,4,4,4,4,6,1,2,1,3,2,1,2,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000115,6,,,1947,1,1,7,3,1,2,1,0,0,0,0,6,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,2,1,1,2,1,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000116,18,,,1959,1,1,3,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,2,2,1,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,2,3,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,3,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000134,54,,,1980,1,1,6,1,1,2,2,0,0,0,0,6,2,1,2,10,3,1,1,1,2,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,3,5,1,1,2,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000138,46,,,1951,1,1,3,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,4,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090000144,32,,,1948,1,1,4,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,2,2,1,1,3,1,3,2,4,4,4,6,1,1,2,5,5,5,2,4,4,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,6,7,3,1,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000146,29,,,1955,1,1,4,2,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,3,2,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000149,42,,,1956,1,1,4,2,2,4,1,0,0,0,0,5,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,4,3,5,1,1,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000150,50,,,1952,1,1,7,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,1,1,1,2,1,2,2,4,4,4,6,1,2,2,5,5,5,2,4,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000152,31,,,1950,1,1,5,2,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,2,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,4,3,5,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000155,6,,,1955,1,3,6,1,1,2,3,0,0,0,0,6,2,2,6,5,2,4,1,1,1,2,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,3,4,1,1,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,3,7,3,4,4,1,1,1,1,2,2,2,2,3,1,2,2,2,2,5
P090000166,21,,,1973,1,2,3,5,2,2,1,0,0,0,0,1,2,2,6,9,4,4,1,1,1,1,1,1,2,2,2,1,4,4,4,6,1,1,2,5,5,5,2,3,4,2,2,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1
P090000174,51,47900,,1952,1,1,7,1,2,2,2,0,0,0,0,8,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,1,1,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000176,29,,,1992,1,1,3,1,2,2,8,5,3,0,0,2,2,2,6,2,4,4,2,1,1,1,1,1,1,1,1,2,3,5,5,7,2,4,2,5,5,5,3,1,2,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,7,3,4,4,2,2,1,1,2,2,2,2,2,1,2,2,2,2,5
P090000178,53,42660,,1960,1,1,7,1,1,2,2,0,0,0,0,8,2,2,6,5,4,4,1,2,1,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,3,2,1,3,3,2,1,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,2,1,2,2,2,2,5
P090000181,45,,,1954,1,1,5,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000184,27,,,1974,1,1,4,1,2,3,3,0,0,0,0,3,2,1,2,10,3,3,3,2,3,2,1,1,2,2,2,2,4,4,4,6,1,3,1,3,3,2,3,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,2,2,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000197,31,,,1953,1,1,6,2,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,4,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000200,10,,,1984,1,1,5,1,1,2,3,1,1,0,0,6,2,1,1,10,3,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,2,4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000217,8,,,1983,1,1,6,3,1,2,5,3,3,0,0,8,2,2,6,9,4,4,1,1,1,2,1,1,2,2,1,2,2,2,2,3,1,3,2,5,5,5,3,4,2,2,1,3,1,1,2,3,1,2,2,1,1,2,2,2,2,2,7,3,1,4,2,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000218,34,35620,,1963,2,1,6,3,1,2,4,1,1,0,0,4,2,2,6,4,4,4,1,1,3,1,2,1,1,1,2,1,3,5,5,7,1,1,2,5,5,5,4,3,4,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,3,6,4,1,3,2,2,1,4,2,2,2,2,1,1,1,1,2,2,2,2
P090000226,8,,,1950,1,1,7,3,2,2,1,0,0,0,0,1,1,1,4,10,3,3,2,2,2,2,1,2,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,5,4,2,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,1,4,2,1,2,2,2,1,2,1,2,2,2,3
P090000233,21,,,1966,2,1,5,3,2,2,1,0,0,0,0,2,1,2,6,4,4,4,3,1,2,2,1,1,4,4,3,4,4,4,4,6,1,2,2,5,5,5,5,2,4,1,2,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090000240,48,,,1972,2,1,6,1,2,2,2,0,0,0,0,4,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,3,1,4,1,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000243,42,37980,,1943,1,1,7,1,2,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,2,4,4,2,1,2,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000252,6,41860,,1964,1,1,4,1,1,1,6,1,1,0,0,7,2,1,2,10,1,4,1,1,2,1,1,1,2,2,2,2,3,5,5,7,1,1,2,5,5,5,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,7,3,1,3,1,1,2,1,2,1,2,2,1,1,2,2,2,2,5
P090000256,48,,,1962,1,1,4,3,2,2,1,0,0,0,0,1,1,2,6,4,4,4,1,1,2,2,2,1,4,4,4,4,4,4,4,6,1,1,1,3,3,1,3,2,2,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000261,26,,,1964,1,1,6,1,2,2,2,0,0,0,0,1,2,2,6,4,4,4,2,3,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,3,1,1,3,2,1,1,2,2,1,1,1,2,2,2,1
P090000263,37,,,1955,1,1,3,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,1,2,3,2,1,4,4,3,2,4,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000264,30,,,1989,1,1,6,1,2,2,6,3,3,0,0,6,2,2,6,7,4,4,1,1,1,1,1,1,2,1,1,2,3,5,5,7,1,3,2,5,5,5,1,4,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090000274,23,,,2001,1,1,6,5,1,2,4,0,0,0,0,6,2,1,2,10,1,4,1,1,1,1,1,1,2,2,2,2,4,4,4,6,1,2,2,5,5,5,3,3,1,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090000283,6,40140,,1959,1,1,4,1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,3,4,5,1,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
P090000284,33,,,1947,1,1,7,5,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,5,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000286,8,,,1958,1,1,6,1,1,2,2,0,0,0,0,5,2,1,3,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000288,48,19100,,1992,1,1,6,5,1,2,1,0,0,0,0,6,2,1,2,10,2,2,1,1,1,1,1,1,1,1,2,2,4,4,4,6,1,2,2,5,5,5,3,2,2,1,1,1,2,1,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000295,56,,,1968,1,1,3,1,2,2,2,0,0,0,0,7,2,1,4,10,2,2,2,2,2,3,1,1,1,1,1,1,4,4,4,6,1,3,1,4,3,1,1,3,4,2,1,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,4,2,2,2,2,1,1,2,2,2,2,5
P090000296,24,47900,,1963,1,1,7,1,2,1,2,0,0,0,0,8,2,1,1,10,2,2,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,2,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000298,8,,,1958,1,1,4,3,1,2,2,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,3,2,1,1,2,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000301,12,,,1991,1,2,7,5,1,2,1,0,0,0,0,5,2,1,2,10,1,1,1,1,1,2,2,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,2,3,1,2,2,2,2,1,2,2,2,2,2,5
P090000303,48,26420,,1977,2,4,7,5,1,3,4,1,1,0,0,5,1,1,2,10,3,3,2,2,2,2,1,1,4,4,2,2,1,1,1,1,1,3,1,2,3,1,3,3,1,1,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,7,3,2,1,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090000308,25,14460,,1949,2,1,7,3,1,4,2,0,0,0,0,1,2,2,6,9,4,4,1,1,3,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,1,5,1,1,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,5
P090000311,49,,,1968,1,1,5,4,1,4,2,0,0,0,0,1,2,2,6,9,4,4,3,2,3,2,1,1,3,3,3,3,4,4,4,6,1,1,1,4,3,1,4,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,2,3,2,2,1,4,3,1,1,2,2,1,1,2,2,2,2,5
P090000312,9,,,1969,1,1,7,1,1,2,5,0,0,0,0,7,2,1,1,10,1,1,1,2,1,1,1,1,2,1,1,1,4,4,4,6,1,2,2,5,5,5,3,4,3,1,2,4,2,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,2,2,2,2,2,1,2,2,2,2,2,5
P090000315,55,16980,,1977,1,1,6,5,1,2,2,0,0,0,0,5,2,1,2,10,3,3,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,3,2,1,2,1,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000329,48,,,1975,2,1,4,3,1,2,1,0,0,0,0,6,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,1,4,5,2,2,2,4,3,3,3,3,3,3,3,3,2,6,7,3,1,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000335,10,,,1978,1,3,3,1,1,2,5,0,0,0,0,3,1,2,6,7,2,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,4,5,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000339,35,,,1979,1,1,5,1,2,2,4,2,2,0,0,8,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,2,4,4,3,4,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000343,42,,,1982,1,1,4,3,1,2,1,0,0,0,0,6,2,1,3,10,3,3,1,1,1,1,1,1,1,1,2,2,4,4,4,6,1,2,2,5,5,5,3,3,3,1,1,1,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
